,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_acc,split1_test_acc,split2_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,mean_train_acc,std_train_acc
0,65.05683779716492,5.67692826276477,0.5931028525034586,0.006349681915565353,1800,5,4,sqrt,70,True,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",-5.025364467707417,-5.217031071722123,-3.794811915963952,-4.6790691517978305,0.6301413418787151,96,-1.6416082566718693,-1.5892756035804652,-1.8874084497030417,-1.706097436651792,0.12997420060701564,0.5063131313131313,0.4943181818181818,0.5268477574226152,0.5091596901846428,0.013431815347844168,22,0.9548468582254499,0.9504262709188507,0.9545454545454546,0.9532728612299183,0.0020166008271142967
1,237.4176526069641,14.952662267682756,0.15259345372517905,0.0102857586930715,400,2,1,auto,30,True,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 30, 'bootstrap': True}",-5.147295286301437,-5.4335412777938625,-3.8465247193610037,-4.809120427818768,0.6906166642295609,905,-1.386132438156531,-0.8189877497441951,-1.1707711163625547,-1.1252971014210935,0.23375797872265744,0.49053030303030304,0.4880050505050505,0.490840176879343,0.4897918434715655,0.0012697709188328314,982,0.904957372908115,0.9390590464161667,0.9299242424242424,0.924646887249508,0.014413394054204375
2,610.3904003302256,77.48293633572555,0.39827974637349445,0.010464453837565703,1000,5,2,auto,60,True,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 60, 'bootstrap': True}",-5.134728450854087,-5.292910287495924,-3.85850495377917,-4.762047897376394,0.6421566587441097,757,-0.9129221049043736,-0.8732894792036299,-1.0547978391952815,-0.947003141101095,0.07792072449139754,0.49053030303030304,0.49558080808080807,0.490840176879343,0.4923170959968181,0.0023112576484051015,946,0.9580044205873066,0.9551626144616356,0.9589646464646465,0.9573772271711962,0.0016142883930468901
3,1253.4755636850994,144.2750240213964,0.8534236749013265,0.017096733700621813,1800,2,1,auto,100,True,"{'n_estimators': 1800, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",-5.159221293242458,-5.422401383170772,-3.841488194582346,-4.8077036236651916,0.691614117593513,901,-0.648362651422707,-0.6099306275599968,-0.7272136254301819,-0.6618356348042952,0.04881916535033396,0.4936868686868687,0.5031565656565656,0.5009475679090335,0.4992636674174893,0.004045197220040832,567,0.9608462267129776,0.9573729081149353,0.9646464646464646,0.9609551998247925,0.002970416638415385
4,80.33049194018047,7.615958893304232,0.6415731112162272,0.0136846926636187,1800,10,1,sqrt,70,True,"{'n_estimators': 1800, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",-5.041523916025202,-5.221443994756732,-3.8047404497916157,-4.689236120191183,0.6297312929069431,324,-1.2358445027552831,-1.2027192954847394,-1.4267715598000077,-1.2884451193466768,0.09874199692648784,0.5,0.49558080808080807,0.509159823120657,0.5015802104004884,0.005655098646087413,345,0.9520050520997789,0.947268708556994,0.9510732323232324,0.9501156643266685,0.002048729669795867
5,312.39083313941956,42.30239270147036,0.2049558957417806,0.006186355039587295,600,10,4,auto,110,True,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 110, 'bootstrap': True}",-5.108151319772766,-5.296576697739547,-3.858063051886677,-4.7542636897996635,0.6383612970265943,691,-1.432392941915298,-1.3614061183346737,-1.6386858433669385,-1.4774949678723035,0.11760571425335271,0.5069444444444444,0.4943181818181818,0.5047378395451674,0.5020001552692646,0.005506167049937924,312,0.9513735396274077,0.9469529523208083,0.952020202020202,0.9501155646561393,0.0022518334234210785
6,14.510207176208496,1.1825599124075252,0.13392130533854166,0.0023347030604687056,400,5,4,sqrt,90,True,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 90, 'bootstrap': True}",-5.036332456172002,-5.214372667881423,-3.8187731121192487,-4.6898260787242245,0.6202013287204303,334,-1.6414530696821954,-1.5895628192262774,-1.8856503445399344,-1.7055554111494693,0.1290963162339953,0.4930555555555556,0.48926767676767674,0.5192672141503475,0.5005301488245265,0.013339045922803104,434,0.9475844647931797,0.9393748026523524,0.9504419191919192,0.9458003955458171,0.004690944782921459
7,19.939830382664997,1.8436397828996371,0.18573458989461264,0.002864225610545679,400,2,1,sqrt,90,True,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 90, 'bootstrap': True}",-5.044851844054111,-5.262908488384037,-3.8194777640109785,-4.709079365483041,0.6353111741712886,491,-0.631973609262562,-0.6029711340485727,-0.7158442427060058,-0.6502629953390469,0.047860637248781736,0.5037878787878788,0.48737373737373735,0.5066329753632344,0.49926486384161683,0.008488141144644218,558,0.9602147142406062,0.9561098831701926,0.9668560606060606,0.9610602193389531,0.004427658638173391
8,41.08913365999857,0.6022758620331914,0.3875701427459717,0.014375516728693152,2000,2,1,sqrt,10,True,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-5.011641610271961,-5.201034274802254,-3.7997115697655848,-4.670795818279934,0.6207834949222508,28,-3.2247522830344786,-3.007872825648232,-3.6861293336065564,-3.306251480763089,0.28283041098835243,0.5195707070707071,0.4936868686868687,0.5161086544535691,0.5097887434037149,0.011473134681469812,15,0.7423429112724976,0.7688664351120935,0.7159090909090909,0.7423728124312273,0.021619755577068744
9,68.53783830006917,6.39693576580901,0.6150778929392496,0.00992524926829323,1600,2,2,sqrt,110,True,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': True}",-5.0281457177382185,-5.211701460427953,-3.7987704018094015,-4.6795391933251915,0.6272896331306261,105,-0.9523711236320593,-0.9324376311919198,-1.0953819998753767,-0.9933969182331186,0.07257205012215472,0.5050505050505051,0.4930555555555556,0.50726468730259,0.5017902493028835,0.006242158115378034,328,0.9652668140195769,0.9652668140195769,0.9668560606060606,0.9657965628817381,0.0007491780255200976
