,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc
0,16.202528333663942,0.04855078051678807,3.9143919944763184,0.0159516132163206,1e-07,rbf,0.01,1e-09,0.1,"{'tol': 1e-07, 'kernel': 'rbf', 'gamma': 0.01, 'epsilon': 1e-09, 'C': 0.1}",-5.765583909260559,-3.398414463513898,-6.8056223814920624,-2.6687438129013077,-4.689239550253185,-4.6655208234842025,1.5088679867201482,20,-4.112130848046898,-4.688563205500662,-3.858599737767232,-4.860031367113482,-4.3734866669775325,-4.378562365081161,0.36586488510443793,0.515311510031679,0.5343189017951425,0.5,0.5084566596194503,0.5116279069767442,0.5139429956846032,0.01137468266941617,7,0.9944517833553501,0.9931307793923382,0.9915478077126255,0.9915478077126255,0.9933967247754887,0.9928149805896854,0.0011250540143364636
1,16.150976848602294,0.022326445846541913,3.9005613327026367,0.011521304978871069,0.01,rbf,10,1e-05,1e-10,"{'tol': 0.01, 'kernel': 'rbf', 'gamma': 10, 'epsilon': 1e-05, 'C': 1e-10}",-5.765561904662461,-3.3985976284838126,-6.806136819566111,-2.6701617768860073,-4.6893286479621175,-4.665957355512102,1.5086049973096434,38,-4.388282508813438,-4.979956820020506,-4.130525499538204,-5.164635122098649,-4.658486630217667,-4.664377316137693,0.37712308351369644,0.515311510031679,0.5343189017951425,0.5,0.5084566596194503,0.5116279069767442,0.5139429956846032,0.01137468266941617,7,0.5136063408190225,0.5088507265521797,0.5174326465927099,0.5153195985208664,0.5145272054939249,0.5139473035957407,0.002844589550554759
2,16.447616052627563,0.020466154067933978,3.87965989112854,0.012382001111418123,1e-08,rbf,1e-05,1e-09,1e-07,"{'tol': 1e-08, 'kernel': 'rbf', 'gamma': 1e-05, 'epsilon': 1e-09, 'C': 1e-07}",-5.765549858603903,-3.398657476547948,-6.806195393900921,-2.670210398689138,-4.68929270311085,-4.6659811661705515,1.5085968293964833,62,-4.388197312562744,-4.979922914670899,-4.130560362949903,-5.164646785941718,-4.658412143608445,-4.664347903946743,0.3771233432220692,0.515311510031679,0.5343189017951425,0.5,0.5084566596194503,0.5116279069767442,0.5139429956846032,0.01137468266941617,7,0.5136063408190225,0.5088507265521797,0.5174326465927099,0.5153195985208664,0.5145272054939249,0.5139473035957407,0.002844589550554759
3,0.1081624984741211,0.01501106793210032,0.007797765731811524,0.0013377438709683994,1e-10,rbf,1e-09,10,0.0001,"{'tol': 1e-10, 'kernel': 'rbf', 'gamma': 1e-09, 'epsilon': 10, 'C': 0.0001}",-5.766590656586295,-3.420149703357652,-6.830397705248085,-2.658503836438571,-4.7356605689991484,-4.68226049412595,1.5153634286687203,84,-4.387484765452036,-4.984879864072533,-4.167671446836414,-5.192183110715637,-4.695026127550691,-4.685449062925462,0.3750750064517541,0.515311510031679,0.457233368532207,0.4978858350951374,0.4894291754756871,0.4788583509513742,0.487743648017217,0.01936758960628248,80,0.5136063408190225,0.4842800528401585,0.4741151611199155,0.4762282091917591,0.4788695192815637,0.48541985665048387,0.01449804460056814
4,16.973675346374513,0.28443657615694623,4.118959522247314,0.15058734972364574,1e-06,rbf,1e-06,0.0001,0.0001,"{'tol': 1e-06, 'kernel': 'rbf', 'gamma': 1e-06, 'epsilon': 0.0001, 'C': 0.0001}",-5.765537691172134,-3.3986000230224924,-6.8061365064386825,-2.6701249005158902,-4.689290760615851,-4.66593797635301,1.5086106161086372,34,-4.3879856552182135,-4.97977068242104,-4.13041209363005,-5.164471494509922,-4.658221935771593,-4.664172372310164,0.3771249263860426,0.515311510031679,0.5343189017951425,0.5,0.5084566596194503,0.5116279069767442,0.5139429956846032,0.01137468266941617,7,0.5136063408190225,0.5088507265521797,0.5174326465927099,0.5153195985208664,0.5145272054939249,0.5139473035957407,0.002844589550554759
5,17.426267385482788,0.09346560849635349,4.19663257598877,0.00987357911543875,1e-09,rbf,0.0001,0.001,1e-07,"{'tol': 1e-09, 'kernel': 'rbf', 'gamma': 0.0001, 'epsilon': 0.001, 'C': 1e-07}",-5.765552849369611,-3.3986204943509226,-6.806156326572637,-2.6701690271593583,-4.6892927154577935,-4.665958282582064,1.5086033405840462,43,-4.388221088620461,-4.9799435567070285,-4.130536901340303,-5.164636590925237,-4.658412186782794,-4.664350064875165,0.37712725272000336,0.515311510031679,0.5343189017951425,0.5,0.5084566596194503,0.5116279069767442,0.5139429956846032,0.01137468266941617,7,0.5136063408190225,0.5088507265521797,0.5174326465927099,0.5153195985208664,0.5145272054939249,0.5139473035957407,0.002844589550554759
6,15.98364806175232,0.04766153898951703,3.8661056041717528,0.010179936867679191,1e-08,rbf,1e-10,0.1,0.1,"{'tol': 1e-08, 'kernel': 'rbf', 'gamma': 1e-10, 'epsilon': 0.1, 'C': 0.1}",-5.765610051181189,-3.397963873727855,-6.805444201061113,-2.66861364761282,-4.689319803371995,-4.665390315390994,1.5089316463643572,13,-4.388492200239793,-4.98036244491662,-4.130104353940677,-5.164260865623198,-4.65844021271796,-4.66433201548765,0.377180487008728,0.515311510031679,0.5343189017951425,0.5,0.5084566596194503,0.5116279069767442,0.5139429956846032,0.01137468266941617,7,0.5136063408190225,0.5088507265521797,0.5174326465927099,0.5153195985208664,0.5145272054939249,0.5139473035957407,0.002844589550554759
7,11.486921072006226,0.4341665447910331,2.953501796722412,0.13453344508502,1,rbf,0.01,0.0001,1e-08,"{'tol': 1, 'kernel': 'rbf', 'gamma': 0.01, 'epsilon': 0.0001, 'C': 1e-08}",-5.765649769868156,-3.3981082811381413,-6.806079918047108,-2.670460415718956,-4.689262228326712,-4.665912122619814,1.5086046803483808,32,-4.388651639657647,-4.980276676040742,-4.130491490209498,-5.164709487699514,-4.658348026662982,-4.664495464054077,0.3771524078727995,0.515311510031679,0.5343189017951425,0.5,0.5084566596194503,0.5116279069767442,0.5139429956846032,0.01137468266941617,7,0.5136063408190225,0.5088507265521797,0.5174326465927099,0.5153195985208664,0.5145272054939249,0.5139473035957407,0.002844589550554759
8,1.0833420753479004,0.14022437489940986,0.12284812927246094,0.027325139431641592,10,rbf,1e-09,1e-06,0.01,"{'tol': 10, 'kernel': 'rbf', 'gamma': 1e-09, 'epsilon': 1e-06, 'C': 0.01}",-6.383936199408151,-4.656210576441393,-8.117255076284511,-3.5858491080595285,-5.845976132488101,-5.717845418536337,1.542059526720814,98,-4.967832025935451,-6.067324120572984,-5.507567130773215,-6.294123326772191,-5.769699028333714,-5.721309126477511,0.4612152314416129,0.470960929250264,0.457233368532207,0.4978858350951374,0.4894291754756871,0.4788583509513742,0.4788735318609339,0.014168948202455659,91,0.4808454425363276,0.4842800528401585,0.4741151611199155,0.4762282091917591,0.4788695192815637,0.4788676769939449,0.0035428398114228554
9,0.6374176025390625,0.07682503299515289,0.0740896224975586,0.00721357321150335,10,rbf,1,0.0001,0.0001,"{'tol': 10, 'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.0001, 'C': 0.0001}",-5.779504204042506,-3.4555964939121173,-6.807403163044291,-2.6557905099038015,-4.771098196416293,-4.693878513463802,1.505900231360915,88,-4.396146979346511,-5.0061727047599405,-4.139569256862681,-5.185006791449646,-4.727493309486184,-4.690877808380993,0.3835941602977888,0.470960929250264,0.457233368532207,0.4978858350951374,0.4894291754756871,0.4788583509513742,0.4788735318609339,0.014168948202455659,91,0.4808454425363276,0.4842800528401585,0.4741151611199155,0.4762282091917591,0.4788695192815637,0.4788676769939449,0.0035428398114228554
