p,d,q,sp,sd,sq,s,aic
3,0,4,0,1,2,5,21700.119421383984
3,0,4,2,0,2,5,21706.959221552293
3,0,4,1,0,0,5,21727.20303837732
3,0,4,2,0,0,5,21714.00395463194
3,0,4,0,0,0,5,21739.21659236471
3,0,4,0,1,1,5,21728.040382904044
3,0,4,1,1,1,5,21733.32840988965
3,0,4,2,1,2,5,21700.840789517773
3,0,4,0,1,0,5,23298.293205100388
3,0,4,0,0,2,5,21702.551171531224
3,0,4,2,0,1,5,21713.730404806127
3,0,4,1,1,0,5,23022.42389502501
3,1,3,1,1,2,5,21726.51679118072
3,1,3,0,0,1,5,21737.17800367711
3,1,3,1,0,1,5,21739.18671758802
3,1,3,2,1,0,5,22686.738929024432
3,1,3,2,1,1,5,21729.68861303987
3,1,3,1,0,2,5,21710.75288595619
3,1,3,0,1,2,5,21725.44292972193
3,1,3,2,0,2,5,21712.96156742634
3,1,3,1,0,0,5,21740.07765213638
3,1,3,2,0,0,5,21713.30312245831
3,1,3,0,0,0,5,21749.25479469495
3,1,3,0,1,1,5,21751.086358094522
3,1,3,1,1,1,5,21753.86009916725
3,1,3,2,1,2,5,21728.802929159996
3,1,3,0,1,0,5,23976.401519653675
3,1,3,0,0,2,5,21708.387223113892
3,1,3,2,0,1,5,21715.13080831771
3,1,3,1,1,0,5,23090.873267737505
3,1,1,1,1,2,5,21730.76091067341
3,1,1,0,0,1,5,21736.129484531808
3,1,1,1,0,1,5,21730.662771213185
3,1,1,2,1,0,5,23109.69056819788
3,1,1,2,1,1,5,21725.2878731386
3,1,1,1,0,2,5,21719.391001606986
3,1,1,0,1,2,5,21728.94499859972
3,1,1,2,0,2,5,21717.894349318794
3,1,1,1,0,0,5,21729.991961084357
3,1,1,2,0,0,5,21714.9501699306
3,1,1,0,0,0,5,21755.159567162438
3,1,1,0,1,1,5,21758.247800828096
3,1,1,1,1,1,5,21756.255528941736
3,1,1,2,1,2,5,21731.138735420376
3,1,1,0,1,0,5,25344.828294290026
3,1,1,0,0,2,5,21717.405275741057
3,1,1,2,0,1,5,21716.01417036571
3,1,1,1,1,0,5,23835.209856772704
2,0,1,1,1,2,5,21709.959750720773
2,0,1,0,0,1,5,21727.079517931244
2,0,1,1,0,1,5,21729.07688451084
2,0,1,2,1,0,5,23099.920275814937
2,0,1,2,1,1,5,21710.477282843356
2,0,1,1,0,2,5,21714.043544495522
2,0,1,0,1,2,5,21718.36855430802
2,0,1,2,0,2,5,21716.04333842105
2,0,1,1,0,0,5,21727.232962214763
2,0,1,2,0,0,5,21716.578058932173
2,0,1,0,0,0,5,21760.53440254891
2,0,1,0,1,1,5,21742.923202285063
2,0,1,1,1,1,5,21747.202244899825
2,0,1,2,1,2,5,21710.77999290482
2,0,1,0,1,0,5,25343.079943733253
2,0,1,0,0,2,5,21712.043722065908
2,0,1,2,0,1,5,21714.51302247737
2,0,1,1,1,0,5,23837.156886973666
4,0,1,1,1,2,5,21711.339675526397
4,0,1,0,0,1,5,21730.551302362474
4,0,1,1,0,1,5,21721.361619254254
4,0,1,2,1,0,5,23095.08363222888
4,0,1,2,1,1,5,21703.503117760996
4,0,1,1,0,2,5,21718.61770727868
4,0,1,0,1,2,5,21712.760980560426
4,0,1,2,0,2,5,21711.05415480308
4,0,1,1,0,0,5,21719.61392824303
4,0,1,2,0,0,5,21708.29679552701
4,0,1,0,0,0,5,21748.406434453063
4,0,1,0,1,1,5,21746.9819954922
4,0,1,1,1,1,5,21738.610576586958
4,0,1,2,1,2,5,21703.3127337368
4,0,1,0,1,0,5,25000.352013165677
4,0,1,0,0,2,5,21716.097049423177
4,0,1,2,0,1,5,21709.162362048577
4,0,1,1,1,0,5,23790.73585939683
1,1,1,1,1,2,5,21728.068348853103
1,1,1,0,0,1,5,21733.602645624636
