,mean_test_dir_acc,mean_test_mape,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_train_neg_mse,split1_train_neg_mse,split2_train_neg_mse,split3_train_neg_mse,split4_train_neg_mse,mean_train_neg_mse,std_train_neg_mse,split0_test_dir_acc,split1_test_dir_acc,split2_test_dir_acc,split3_test_dir_acc,split4_test_dir_acc,std_test_dir_acc,rank_test_dir_acc,split0_train_dir_acc,split1_train_dir_acc,split2_train_dir_acc,split3_train_dir_acc,split4_train_dir_acc,mean_train_dir_acc,std_train_dir_acc,split0_test_mape,split1_test_mape,split2_test_mape,split3_test_mape,split4_test_mape,mean_test_mape,std_test_mape,rank_test_mape,split0_train_mape,split1_train_mape,split2_train_mape,split3_train_mape,split4_train_mape,mean_train_mape,std_train_mape
280,0.516644667517054,179.9003213265704,22.252257108688354,0.19232556978328963,5.031003522872925,0.044333593364240996,1e-05,rbf,1e-07,1e-07,10,"{'tol': 1e-05, 'kernel': 'rbf', 'gamma': 1e-07, 'epsilon': 1e-07, 'C': 10}",-5.770575924035107,-3.6200936597793247,-6.875123257396695,-3.0367505416922316,-4.8453449216332,-4.8295776609073116,1.3962137195583664,470,-3.5907458869704447,-4.205039099620866,-3.463684472411033,-4.395189353454483,-4.023317578819415,-3.9355952782552484,0.35584906918204884,0.5210526315789473,0.5079030558482613,0.5015806111696522,0.530031612223393,0.5226554267650158,0.010374114233843252,1,0.7370916754478398,0.7216223334211219,0.7174084803792468,0.7092441401106137,0.70582038451409,0.7182374027745825,0.010978976106007779,114.19516719430077,160.75084825252785,163.15911848214895,264.9268556769932,196.46961702688125,179.9003213265704,49.9363406246089,31,105.27317026836502,99.16324362053813,99.51853784333234,102.54697284998106,105.55434330461533,102.41125357736637,2.720491606246824
478,0.516644667517054,179.90033423923055,22.64042615890503,0.2584779336287799,5.096886730194091,0.021263641146149502,1e-06,rbf,1e-07,1e-08,10,"{'tol': 1e-06, 'kernel': 'rbf', 'gamma': 1e-07, 'epsilon': 1e-08, 'C': 10}",-5.770576027661888,-3.620093666095271,-6.875123625263638,-3.036750280959636,-4.845344986848155,-4.8295777173657175,1.3962139073288935,471,-3.5907459089441955,-4.205039099819987,-3.463684642746218,-4.395189249517713,-4.023317684880048,-3.9355953171816322,0.3558489981565275,0.5210526315789473,0.5079030558482613,0.5015806111696522,0.530031612223393,0.5226554267650158,0.010374114233843252,1,0.7370916754478398,0.7216223334211219,0.7174084803792468,0.7092441401106137,0.70582038451409,0.7182374027745825,0.010978976106007779,114.19523310720747,160.7508340808892,163.15910718804125,264.9268737991785,196.4696230208362,179.90033423923055,49.93633169252785,30,105.2731834984739,99.16314549058605,99.51861362374358,102.54703783041606,105.554263143258,102.4112487172955,2.7204838324304594
319,0.5160133104098498,105.1135420999528,10.506137418746949,0.3529357411628751,2.3818099975585936,0.0890348418945383,1e-10,rbf,1e-08,1,0.1,"{'tol': 1e-10, 'kernel': 'rbf', 'gamma': 1e-08, 'epsilon': 1, 'C': 0.1}",-5.748945249250604,-3.4072507104438468,-6.762363974329598,-2.6733757071536544,-4.690909803271998,-4.65656908888994,1.4914884820217809,98,-4.37245841572722,-4.959071745866835,-4.121301571495007,-5.144436082569667,-4.638998564462812,-4.647253276024308,0.37326319193437546,0.5168421052631579,0.5426765015806112,0.5015806111696522,0.5068493150684932,0.512118018967334,0.014276327102682822,3,0.5329293993677555,0.5306821174611536,0.5240979720832236,0.5172504608901765,0.5209375823018172,0.5251795064208252,0.005871506939993478,98.96023493292724,100.49826779307591,104.01830053399132,117.8311350140705,104.25977222569911,105.1135420999528,6.675771006178922,448,102.72276756518359,102.20580705256165,104.07489068031282,104.50651439062585,103.95071463053478,103.49213886384373,0.8746920425666436
308,0.5143271033220563,106.32083494019496,21.038654947280882,0.09482530193865163,5.036005115509033,0.02058000207494738,0.001,rbf,1e-09,0.01,1e-05,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 1e-09, 'epsilon': 0.01, 'C': 1e-05}",-5.7436239878172755,-3.40559985766462,-6.767553499059174,-2.6769333144141094,-4.689368738619249,-4.656615879514885,1.4915026755853984,108,-4.382747824863206,-4.967093974587508,-4.128710835715273,-5.151814301977147,-4.647601293115755,-4.655593646051779,0.3729293792981413,0.5178947368421053,0.530031612223393,0.5026343519494204,0.5089567966280295,0.512118018967334,0.009271464728962814,4,0.5134351949420443,0.5104029496971293,0.5172504608901765,0.5156702659994733,0.5148801685541217,0.514327808016589,0.002317346169539737,99.54819340669697,101.2472371731762,105.6637971500499,119.6207193314836,105.52422763956805,106.32083494019496,7.064888878297998,353,104.94482695173363,103.29651749011876,106.87067757756432,104.64990709538253,105.88280876878416,105.12894757671668,1.2019243156146224
318,0.5143271033220563,106.32249939930792,20.69566068649292,0.16023089246510236,4.9037638187408445,0.06147077299609807,1e-09,rbf,0.1,0.01,0.0001,"{'tol': 1e-09, 'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 0.01, 'C': 0.0001}",-5.743623705546976,-3.4055998280086213,-6.767558903375453,-2.6769332711503533,-4.689368725306501,-4.656616886677581,1.4915041805995923,119,-4.382465037661024,-4.966793307946345,-4.128433615139841,-5.151500702384406,-4.647307228890233,-4.655299978404369,0.37291666803785245,0.5178947368421053,0.530031612223393,0.5026343519494204,0.5089567966280295,0.512118018967334,0.009271464728962814,4,0.5134351949420443,0.5104029496971293,0.5172504608901765,0.5156702659994733,0.5148801685541217,0.514327808016589,0.002317346169539737,99.54977775650588,101.24724211735099,105.67056178221539,119.62066047825455,105.5242548622128,106.32249939930792,7.064436283358064,339,104.91752727719081,103.2625384448215,106.84417777505908,104.62249361596645,105.8493517720761,105.0992177770228,1.2034329842646738
317,0.5143271033220563,106.55999701172956,20.865487003326415,0.11423857746058866,5.0088574409484865,0.04238447332971635,0.001,rbf,0.001,1e-08,0.0001,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'epsilon': 1e-08, 'C': 0.0001}",-5.74363196127681,-3.405567339928755,-6.7677103019023965,-2.6776926762327657,-4.689377077196755,-4.656795871307496,1.4913521548730189,196,-4.382343896627999,-4.96682046333447,-4.1285487534711995,-5.151655502837977,-4.647327279614923,-4.655339179177314,0.37294751667135,0.5178947368421053,0.530031612223393,0.5026343519494204,0.5089567966280295,0.512118018967334,0.009271464728962814,4,0.5134351949420443,0.5104029496971293,0.5172504608901765,0.5156702659994733,0.5148801685541217,0.514327808016589,0.002317346169539737,99.48416735279177,101.28093084490375,105.86138219273158,120.61158885057013,105.5619158176506,106.55999701172956,7.44133545671336,268,104.5657385280962,103.3257439859472,107.07804623631816,104.94017675638436,105.88500684903993,105.15894247115716,1.2625763172564757
316,0.5143271033220563,106.56962794355309,20.898682594299316,0.08891244623445205,5.03117036819458,0.027335376729630236,1e-10,rbf,10,1e-07,1e-06,"{'tol': 1e-10, 'kernel': 'rbf', 'gamma': 10, 'epsilon': 1e-07, 'C': 1e-06}",-5.743632217253436,-3.4055570066855183,-6.7677103019023965,-2.6777224961137094,-4.689377077196755,-4.656799819830363,1.4913460116152513,258,-4.38262461961414,-4.967127024084804,-4.128827224523198,-5.151972369660865,-4.647618505127295,-4.655633948602061,0.3729620436119687,0.5178947368421053,0.530031612223393,0.5026343519494204,0.5089567966280295,0.512118018967334,0.009271464728962814,4,0.5134351949420443,0.5104029496971293,0.5172504608901765,0.5156702659994733,0.5148801685541217,0.514327808016589,0.002317346169539737,99.48283924756137,101.29173403147871,105.86138219273158,120.65026842834318,105.5619158176506,106.56962794355309,7.454666597546871,148,104.59531293057942,103.38155773680495,107.11316136758826,104.98070235018469,105.91891124786063,105.1979291266036,1.256779100229034
315,0.5143271033220563,106.39663953640937,20.927657508850096,0.14258280538792475,5.071573400497437,0.08983541910220065,0.01,rbf,1e-09,0.001,0.001,"{'tol': 0.01, 'kernel': 'rbf', 'gamma': 1e-09, 'epsilon': 0.001, 'C': 0.001}",-5.743643561116258,-3.405653401863918,-6.767518610458976,-2.6774104406709056,-4.689339937115323,-4.656713190245076,1.4913598912612647,143,-4.382697476948997,-4.967042790669484,-4.1286876686052665,-5.151901992336773,-4.647517727712718,-4.655569531254647,0.3729584400451307,0.5178947368421053,0.530031612223393,0.5026343519494204,0.5089567966280295,0.512118018967334,0.009271464728962814,4,0.5134351949420443,0.5104029496971293,0.5172504608901765,0.5156702659994733,0.5148801685541217,0.514327808016589,0.002317346169539737,99.52796494396459,101.19479867975247,105.63334987263096,120.24364339069307,105.38344079500573,106.39663953640937,7.315552439779814,319,104.8394198569384,103.19605999760537,106.83198721425637,104.84850441892229,105.74472663301499,105.09213962414749,1.1976045077655433
313,0.5143271033220563,106.56066334179818,20.92455925941467,0.09661203987093529,5.070676708221436,0.014294236752477322,1e-09,rbf,1e-10,0.001,0.1,"{'tol': 1e-09, 'kernel': 'rbf', 'gamma': 1e-10, 'epsilon': 0.001, 'C': 0.1}",-5.743808533934728,-3.4055982051463562,-6.767627173674631,-2.6777141671400257,-4.68938278001653,-4.656826171982454,1.4913435023072947,341,-4.38253332800601,-4.967012978073584,-4.12880469650699,-5.151891951394902,-4.647501948515695,-4.655548980499437,0.37294182079543725,0.5178947368421053,0.530031612223393,0.5026343519494204,0.5089567966280295,0.512118018967334,0.009271464728962814,4,0.5134351949420443,0.5104029496971293,0.5172504608901765,0.5156702659994733,0.5148801685541217,0.514327808016589,0.002317346169539737,99.49891781789552,101.26901129707977,105.9022094399712,120.63880544384958,105.49437271019482,106.56066334179818,7.451636779985458,267,104.70856336909686,103.32129129486387,107.1491836866344,104.96323638242944,105.85836031108529,105.20012700882198,1.2696352731671088
312,0.5143271033220563,106.56962794355309,20.78749361038208,0.12462426194868902,5.084357500076294,0.021300745389799196,1e-08,rbf,1,1e-07,1e-05,"{'tol': 1e-08, 'kernel': 'rbf', 'gamma': 1, 'epsilon': 1e-07, 'C': 1e-05}",-5.743632217253436,-3.4055570066855183,-6.7677103019023965,-2.6777224961137094,-4.689377077196755,-4.656799819830363,1.4913460116152513,258,-4.382598883692605,-4.967099953649391,-4.128801908163229,-5.151944137622147,-4.64759202927093,-4.655607382479661,0.37296104098580707,0.5178947368421053,0.530031612223393,0.5026343519494204,0.5089567966280295,0.512118018967334,0.009271464728962814,4,0.5134351949420443,0.5104029496971293,0.5172504608901765,0.5156702659994733,0.5148801685541217,0.514327808016589,0.002317346169539737,99.48283924756137,101.29173403147871,105.86138219273158,120.65026842834318,105.5619158176506,106.56962794355309,7.454666597546871,148,104.59196589923843,103.37835777921877,107.10996908292734,104.97814962848437,105.91582902978602,105.19485428393098,1.2567867075376538
