DATE,RETURN
2000-01-10,-0.10774420155268416
2000-01-17,
2000-01-24,-0.5201371932216887
2000-01-31,0.4612843703615551
2000-02-07,-0.3154044909372692
2000-02-14,0.8806174520158342
2000-02-21,
2000-02-28,-0.2536543808914585
2000-03-06,0.7646315893528339
2000-03-13,0.3653290574162416
2000-03-20,-1.6949987981885073
2000-03-27,-0.32461933741550675
2000-04-03,-0.7276665826227251
2000-04-10,-1.4459440940482793
2000-04-17,0.7502580330912185
2000-04-24,0.10968938986118948
2000-05-01,0.16812192122010278
2000-05-08,0.8180369638705868
2000-05-15,0.34681747111908
2000-05-22,-1.5919350692337038
2000-05-29,
2000-06-05,-0.5204113897455898
2000-06-12,1.6567893178113913
2000-06-19,-0.8135572792336454
2000-06-26,-3.219226813983929
2000-07-03,
2000-07-10,-0.8365839801787178
2000-07-17,-0.6449733628527781
2000-07-24,-0.6958210085838374
2000-07-31,-0.8614980584047416
2000-08-07,-1.14387533344796
2000-08-14,0.953353827773847
2000-08-21,0.4659184411926661
2000-08-28,-1.0858074403411542
2000-09-04,
2000-09-11,1.4739651592827159
2000-09-18,0.8078978038218221
2000-09-25,-1.2054513903577182
2000-10-02,1.2504114950870302
2000-10-09,1.188328682359785
2000-10-16,-1.741908867501207
2000-10-23,0.5683324112674359
2000-10-30,0.08125130978127912
2000-11-06,0.4062613766371441
2000-11-13,0.2438440525457608
2000-11-20,0.33519835536239084
2000-11-27,0.16597544665358416
2000-12-04,-0.8210077168098925
2000-12-11,1.6538010955943576
2000-12-18,0.7537148795515741
2000-12-25,
2001-01-01,
2001-01-08,-0.6972246017058925
2001-01-15,
2001-01-22,0.0932691421515456
2001-01-29,-0.8155350718135482
2001-02-05,-0.7764828617381851
2001-02-12,-0.4448126760240682
2001-02-19,
2001-02-26,-0.6538446648270597
2001-03-05,0.8496035140873678
2001-03-12,-0.07158198885458175
2001-03-19,-0.6433501501789489
2001-03-26,0.10966926361370236
2001-04-02,-0.8578669488007081
2001-04-09,0.4646688109776568
2001-04-16,0.05211954632694527
2001-04-23,-0.037057628423016915
2001-04-30,0.15250187900045134
2001-05-07,-0.7354984037228007
2001-05-14,0.27865017720301033
2001-05-21,0.0668226084126052
2001-05-28,
2001-06-04,0.30941552646400383
2001-06-11,0.5926598513476506
2001-06-18,-1.1534353315723944
2001-06-25,0.1108443659507093
2001-07-02,-0.44538424269453536
2001-07-09,-0.5622479134791636
2001-07-16,-0.6972428895787529
2001-07-23,0.2715824916550277
2001-07-30,-0.4728211663985367
2001-08-06,0.22942794189364515
2001-08-13,-0.321603352305703
2001-08-20,0.6809274230032674
2001-08-27,-1.9995090282033758
2001-09-03,
2001-09-10,-0.3953325763583315
2001-09-17,-0.8557717998456691
2001-09-24,-5.697261864223599
2001-10-01,-0.4581973634878445
2001-10-08,-0.10470429669536448
2001-10-15,-0.17833301563953502
2001-10-22,-0.3198562353951809
2001-10-29,0.045279608502069024
2001-11-05,-0.39761902884246253
2001-11-12,-1.4871785020767805
2001-11-19,-0.6512440841923557
2001-11-26,0.3345100907986165
2001-12-03,1.3593627902016494
2001-12-10,-1.354910225805206
2001-12-17,-0.05182690860078646
2001-12-24,
2001-12-31,-0.7594847284400668
2002-01-07,-0.0777182290362314
2002-01-14,-1.3663823894537832
2002-01-21,
2002-01-28,0.4182405350696102
2002-02-04,-0.6267708987698721
2002-02-11,1.6694228450946518
2002-02-18,
2002-02-25,-1.1014931592485824
2002-03-04,0.2671430148883047
2002-03-11,0.6773334163652518
2002-03-18,0.7542409329700888
2002-03-25,0.1691060537486096
2002-04-01,0.5751715129554302
2002-04-08,-0.06364969154390998
2002-04-15,1.4156998572806647
2002-04-22,-0.18971783332625647
2002-04-29,0.4031568294448285
2002-05-06,-0.807203021032595
2002-05-13,0.8254165411377615
2002-05-20,0.059070249967341226
2002-05-27,
2002-06-03,-0.3566509157817421
2002-06-10,-0.6536157129458726
2002-06-17,0.10280141789871244
2002-06-24,1.0292854299493706
2002-07-01,0.0
2002-07-08,-0.5136233931491319
2002-07-15,-0.3046386889493361
2002-07-22,-1.4942496849400446
2002-07-29,-0.012557292796211428
2002-08-05,-0.3993558313150588
2002-08-12,1.1821137612939716
2002-08-19,0.6994052409822278
2002-08-26,-0.8556137879254392
2002-09-02,
2002-09-09,0.32597348521701264
2002-09-16,-0.7800932586532767
2002-09-23,1.3224874969220757
2002-09-30,0.06544504720085165
2002-10-07,0.0
2002-10-14,0.7854060192837999
2002-10-21,-1.4402332318730928
2002-10-28,0.19629550040831667
2002-11-04,-0.18542602979965864
2002-11-11,0.2442955325536733
2002-11-18,1.5453191652496332
2002-11-25,-0.8769230607720798
2002-12-02,0.2955354846019453
2002-12-09,0.31909914772968817
2002-12-16,2.0049317562771547
2002-12-23,1.617510640634083
2002-12-30,-1.3212318813748958
2003-01-06,-0.986596299819927
2003-01-13,0.51307227281067
2003-01-20,
2003-01-27,-2.5230849757076346
2003-02-03,-0.6732205721663813
2003-02-10,-0.565879412693852
2003-02-17,
2003-02-24,0.47716322344143103
2003-03-03,-0.6039144049550416
2003-03-10,-0.51597863280007
2003-03-17,-0.4644845050803574
2003-03-24,2.7415926743950285
2003-03-31,1.0106723669090676
2003-04-07,-0.7715020075830914
2003-04-14,0.15287849459080974
2003-04-21,0.5422493220653357
2003-04-28,-0.8729571920901661
2003-05-05,0.8817842149405694
2003-05-12,-0.3758298890846668
2003-05-19,-0.2647800718012109
2003-05-26,
2003-06-02,1.2830604066490134
2003-06-09,0.10646234962921793
2003-06-16,0.5504415187056171
