DATE,RETURN,ESS_MEAN,ESS_TOTAL,WESS_MEAN,WESS_TOTAL,NUM_EVENTS,NUM_POSITIVE_ESS,NUM_NEGATIVE_ESS,NUM_NEUTRAL_ESS,NUM_POSITIVE_WESS,NUM_NEGATIVE_WESS,NUM_NEUTRAL_WESS
2000-03-03,-0.15880582,-4.0,-12.0,-4.0,-12.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0
2000-03-06,0.76463157,14.8,74.0,13.9,69.5,5.0,4.0,1.0,0.0,4.0,1.0,0.0
2000-03-07,5.1759167,2.3333333,35.0,-3.1746666,-47.62,15.0,9.0,5.0,1.0,8.0,5.0,2.0
2000-03-08,-8.23561,-3.7857144,-53.0,-8.732857,-122.26,14.0,6.0,8.0,0.0,1.0,8.0,5.0
2000-03-09,1.2414612,-4.0,-36.0,-0.83666664,-7.53,9.0,3.0,6.0,0.0,3.0,6.0,0.0
2000-03-10,0.47341102,-15.0,-30.0,-4.2,-8.4,2.0,0.0,2.0,0.0,0.0,2.0,0.0
2000-03-13,0.36532906,-6.75,-27.0,-4.1625,-16.65,4.0,1.0,3.0,0.0,1.0,3.0,0.0
2000-03-14,-0.5621501,9.428572,66.0,9.428572,66.0,7.0,5.0,2.0,0.0,5.0,2.0,0.0
2000-03-15,-4.6803412,-9.111111,-82.0,-4.1277776,-37.15,9.0,2.0,7.0,0.0,2.0,7.0,0.0
2000-03-16,2.0465226,1.5,6.0,7.8375,31.35,4.0,2.0,2.0,0.0,2.0,0.0,2.0
2000-03-17,-0.77469724,1.5,6.0,0.1875,0.75,4.0,2.0,2.0,0.0,2.0,2.0,0.0
2000-03-20,-1.6949987,-12.555555,-113.0,-9.805555,-88.25,9.0,2.0,7.0,0.0,2.0,7.0,0.0
2000-03-21,-4.6049294,-2.2222223,-20.0,0.12222222,1.1,9.0,4.0,5.0,0.0,4.0,5.0,0.0
2000-03-22,-2.6407757,-11.625,-93.0,-7.60875,-60.87,8.0,1.0,6.0,1.0,1.0,6.0,1.0
2000-03-23,0.6940667,3.0,24.0,5.60625,44.85,8.0,3.0,4.0,1.0,3.0,4.0,1.0
2000-03-24,1.4097468,0.8888889,8.0,1.1711111,10.54,9.0,5.0,4.0,0.0,5.0,4.0,0.0
2000-03-27,-0.32461932,-1.3,-13.0,2.765,27.65,10.0,4.0,6.0,0.0,4.0,6.0,0.0
2000-03-28,-1.7919661,-5.8,-58.0,1.7,17.0,10.0,3.0,7.0,0.0,3.0,5.0,2.0
2000-03-29,-2.768602,1.3333334,12.0,8.233334,74.1,9.0,3.0,6.0,0.0,3.0,2.0,4.0
2000-03-30,1.1691629,1.5,3.0,7.2,14.4,2.0,1.0,1.0,0.0,1.0,1.0,0.0
2000-03-31,0.7098853,4.0,16.0,5.875,23.5,4.0,2.0,2.0,0.0,2.0,2.0,0.0
2000-04-03,-0.72766656,9.0,27.0,9.0,27.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0
2000-04-04,-3.16996,-16.333334,-98.0,-14.608334,-87.65,6.0,0.0,5.0,1.0,0.0,5.0,1.0
2000-04-05,1.1714308,0.33333334,2.0,2.7333333,16.4,6.0,3.0,3.0,0.0,3.0,3.0,0.0
2000-04-06,-0.9752369,-5.0,-20.0,-8.105,-32.42,4.0,2.0,2.0,0.0,2.0,2.0,0.0
2000-04-07,-2.1395428,-15.0,-60.0,-10.2375,-40.95,4.0,0.0,4.0,0.0,0.0,4.0,0.0
2000-04-10,-1.4459441,-13.4,-67.0,-13.4,-67.0,5.0,1.0,4.0,0.0,1.0,4.0,0.0
2000-04-11,1.0815413,-17.333334,-52.0,-16.083334,-48.25,3.0,0.0,3.0,0.0,0.0,3.0,0.0
2000-04-12,5.3174024,5.8333335,35.0,2.0233333,12.14,6.0,4.0,2.0,0.0,4.0,2.0,0.0
2000-04-13,-0.7877158,-8.333333,-25.0,-5.8333335,-17.5,3.0,1.0,2.0,0.0,1.0,2.0,0.0
2000-04-14,0.748477,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2000-04-17,0.750258,-23.0,-46.0,-23.0,-46.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
2000-04-18,-0.53867,5.75,46.0,1.3625,10.9,8.0,5.0,2.0,1.0,5.0,2.0,1.0
2000-04-19,5.479795,-16.333334,-49.0,-20.893333,-62.68,3.0,1.0,2.0,0.0,1.0,2.0,0.0
2000-04-20,-0.32924852,-10.0,-20.0,-10.0,-20.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
2000-04-21,,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2000-04-24,0.10968939,-15.0,-75.0,-15.0,-75.0,5.0,2.0,3.0,0.0,2.0,3.0,0.0
2000-04-25,-3.7165184,-13.0,-91.0,-11.535714,-80.75,7.0,1.0,6.0,0.0,1.0,6.0,0.0
2000-04-26,-6.734442,-6.4444447,-58.0,-4.561111,-41.05,9.0,2.0,6.0,1.0,2.0,6.0,1.0
2000-04-27,3.3455927,18.0,54.0,13.86,41.58,3.0,3.0,0.0,0.0,3.0,0.0,0.0
2000-04-28,0.702579,1.3333334,4.0,1.3333334,4.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0
2000-05-01,0.16812192,-2.5,-5.0,-2.5,-5.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
2000-05-02,3.8714511,-1.3,-13.0,-2.411,-24.11,10.0,5.0,3.0,2.0,5.0,3.0,2.0
2000-05-03,-0.97269756,11.3,113.0,4.028,40.28,10.0,8.0,2.0,0.0,8.0,2.0,0.0
2000-05-04,1.7884232,1.5555556,14.0,0.38555557,3.47,9.0,4.0,3.0,2.0,4.0,3.0,2.0
2000-05-05,1.0652075,7.25,58.0,6.7625,54.1,8.0,5.0,2.0,1.0,5.0,2.0,1.0
2000-05-08,0.818037,1.5,15.0,1.119,11.19,10.0,5.0,5.0,0.0,5.0,5.0,0.0
2000-05-09,1.451096,-2.5,-25.0,-1.549,-15.49,10.0,4.0,6.0,0.0,4.0,6.0,0.0
2000-05-10,-1.2730017,-11.285714,-79.0,-5.457143,-38.2,7.0,1.0,6.0,0.0,1.0,6.0,0.0
2000-05-11,4.0109997,-6.0,-60.0,-4.134,-41.34,10.0,5.0,5.0,0.0,5.0,5.0,0.0
2000-05-12,1.3245227,7.9411764,135.0,0.38470587,6.54,17.0,12.0,4.0,1.0,8.0,4.0,5.0
2000-05-15,0.34681746,-2.4,-36.0,0.426,6.39,15.0,6.0,9.0,0.0,6.0,7.0,2.0
2000-05-16,-0.6364115,9.666667,116.0,5.8841667,70.61,12.0,9.0,3.0,0.0,9.0,2.0,1.0
2000-05-17,-1.2851039,-7.0,-91.0,-2.5823076,-33.57,13.0,4.0,9.0,0.0,4.0,7.0,2.0
2000-05-18,3.0173259,7.2222223,65.0,2.4622223,22.16,9.0,7.0,2.0,0.0,7.0,2.0,0.0
2000-05-19,-0.86236024,-0.3,-3.0,-3.687,-36.87,10.0,4.0,5.0,1.0,4.0,5.0,1.0
2000-05-22,-1.591935,-12.0,-192.0,-4.3875,-70.2,16.0,2.0,14.0,0.0,2.0,8.0,6.0
2000-05-23,-0.034946706,13.090909,144.0,11.82,130.02,11.0,9.0,2.0,0.0,9.0,0.0,2.0
2000-05-24,4.376767,-3.2,-16.0,-7.346,-36.73,5.0,2.0,3.0,0.0,2.0,3.0,0.0
2000-05-25,1.7904987,12.571428,88.0,9.665714,67.66,7.0,5.0,1.0,1.0,5.0,1.0,1.0
2000-05-26,-2.2263753,7.8333335,94.0,5.2266665,62.72,12.0,5.0,2.0,5.0,5.0,2.0,5.0
2000-05-29,,-15.0,-15.0,-15.0,-15.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2000-05-30,0.49901855,-15.25,-122.0,-11.38125,-91.05,8.0,1.0,7.0,0.0,1.0,7.0,0.0
2000-05-31,-4.4796176,12.0,120.0,7.122,71.22,10.0,8.0,2.0,0.0,8.0,2.0,0.0
2000-06-01,3.9180965,7.5263157,143.0,0.9405263,17.87,19.0,13.0,4.0,2.0,9.0,4.0,6.0
2000-06-02,0.49562302,-12.5,-50.0,-15.7925,-63.17,4.0,1.0,3.0,0.0,0.0,3.0,1.0
2000-06-05,-0.5204114,-9.444445,-85.0,-6.307778,-56.77,9.0,2.0,7.0,0.0,2.0,7.0,0.0
2000-06-06,-0.3017605,5.4,81.0,4.02,60.3,15.0,9.0,4.0,2.0,9.0,3.0,3.0
2000-06-07,-1.6590866,12.047619,253.0,5.187619,108.94,21.0,16.0,5.0,0.0,13.0,5.0,3.0
2000-06-08,1.6590866,-4.0,-60.0,-1.184,-17.76,15.0,5.0,10.0,0.0,0.0,3.0,12.0
2000-06-09,1.4666929,-2.6666667,-24.0,2.95,26.55,9.0,4.0,5.0,0.0,4.0,1.0,4.0
2000-06-12,1.6567893,14.6875,235.0,5.575,89.2,16.0,14.0,2.0,0.0,9.0,2.0,5.0
2000-06-13,3.0084453,13.307693,173.0,2.95,38.35,13.0,11.0,2.0,0.0,3.0,2.0,8.0
2000-06-14,-0.030557677,2.25,18.0,0.91875,7.35,8.0,4.0,4.0,0.0,4.0,4.0,0.0
2000-06-15,-0.061143383,1.3636364,15.0,0.83181816,9.15,11.0,5.0,5.0,1.0,5.0,5.0,1.0
2000-06-16,-1.0761057,-8.4,-168.0,-0.306,-6.12,20.0,4.0,16.0,0.0,4.0,5.0,11.0
2000-06-19,-0.81355727,-8.714286,-183.0,-1.3957143,-29.31,21.0,4.0,17.0,0.0,4.0,9.0,8.0
2000-06-20,4.6419225,2.6470587,90.0,0.3967647,13.49,34.0,21.0,13.0,0.0,19.0,10.0,5.0
2000-06-21,1.7089309,7.5625,242.0,1.844375,59.02,32.0,22.0,10.0,0.0,8.0,5.0,19.0
2000-06-22,3.1600056,8.166667,147.0,3.705,66.69,18.0,12.0,5.0,1.0,9.0,1.0,8.0
2000-06-23,0.115141064,-0.125,-2.0,-4.405625,-70.49,16.0,8.0,8.0,0.0,1.0,8.0,7.0
2000-06-26,-3.2192268,-14.666667,-176.0,-9.4,-112.8,12.0,1.0,11.0,0.0,1.0,10.0,1.0
2000-06-27,1.4157858,1.3529412,23.0,3.585294,60.95,17.0,5.0,6.0,6.0,5.0,4.0,8.0
2000-06-28,-0.46970496,-4.076923,-53.0,-2.0507693,-26.66,13.0,5.0,8.0,0.0,5.0,8.0,0.0
2000-06-29,2.6940784,4.571429,64.0,-0.03785714,-0.53,14.0,9.0,5.0,0.0,7.0,2.0,5.0
2000-06-30,-0.8899859,0.6363636,7.0,-1.72,-18.92,11.0,4.0,7.0,0.0,1.0,6.0,4.0
2000-07-03,,9.625,77.0,4.49625,35.97,8.0,6.0,1.0,1.0,6.0,1.0,1.0
2000-07-04,,-3.4,-51.0,1.9,28.5,15.0,5.0,9.0,1.0,5.0,6.0,4.0
2000-07-05,-1.0635417,-4.769231,-124.0,3.8211539,99.35,26.0,7.0,19.0,0.0,7.0,1.0,18.0
2000-07-06,-1.8704401,5.242424,173.0,5.312424,175.31,33.0,20.0,13.0,0.0,14.0,1.0,18.0
2000-07-07,0.23159647,-18.125,-145.0,-7.45625,-59.65,8.0,0.0,8.0,0.0,0.0,2.0,6.0
2000-07-10,-0.836584,-8.285714,-116.0,0.10357143,1.45,14.0,2.0,11.0,1.0,2.0,5.0,7.0
2000-07-11,0.3382953,0.85,17.0,-1.4825,-29.65,20.0,10.0,10.0,0.0,8.0,10.0,2.0
2000-07-12,2.4354832,4.4,66.0,1.43,21.45,15.0,10.0,5.0,0.0,10.0,5.0,0.0
2000-07-13,3.465934,-1.3333334,-24.0,-1.5566666,-28.02,18.0,7.0,10.0,1.0,6.0,6.0,6.0
2000-07-14,-0.31887782,-11.3125,-181.0,-3.289375,-52.63,16.0,2.0,14.0,0.0,2.0,4.0,10.0
2000-07-17,-0.64497334,-13.875,-222.0,-7.813125,-125.01,16.0,2.0,14.0,0.0,2.0,14.0,0.0
2000-07-18,3.9270809,3.6363637,120.0,4.1072726,135.54,33.0,19.0,14.0,0.0,18.0,3.0,12.0
2000-07-19,-2.6651323,2.1,21.0,0.441,4.41,10.0,5.0,5.0,0.0,3.0,5.0,2.0
2000-07-20,-0.5157974,-17.117647,-291.0,-11.467059,-194.94,17.0,2.0,15.0,0.0,2.0,15.0,0.0
2000-07-21,-8.004271,-9.0,-99.0,-0.6818182,-7.5,11.0,2.0,9.0,0.0,2.0,8.0,1.0
2000-07-24,-0.695821,-3.0,-30.0,2.295,22.95,10.0,2.0,7.0,1.0,2.0,6.0,2.0
2000-07-25,-0.28643057,1.35,27.0,0.288,5.76,20.0,10.0,8.0,2.0,10.0,8.0,2.0
2000-07-26,-0.28725335,3.9629629,107.0,-0.28851852,-7.79,27.0,16.0,9.0,2.0,10.0,9.0,8.0
2000-07-27,1.4280857,12.090909,133.0,3.8872728,42.76,11.0,7.0,1.0,3.0,3.0,1.0,7.0
2000-07-28,0.03544214,17.333334,156.0,12.053333,108.48,9.0,9.0,0.0,0.0,9.0,0.0,0.0
2000-07-31,-0.86149806,-12.5,-100.0,-4.25,-34.0,8.0,1.0,7.0,0.0,1.0,5.0,2.0
2000-08-01,1.2646961,3.368421,64.0,2.6205263,49.79,19.0,10.0,6.0,3.0,10.0,4.0,5.0
2000-08-02,1.4968206,6.6,99.0,1.492,22.38,15.0,9.0,5.0,1.0,5.0,5.0,5.0
2000-08-03,2.2732224,6.9,69.0,2.361,23.61,10.0,7.0,3.0,0.0,5.0,3.0,2.0
2000-08-04,3.4661982,18.0,126.0,9.488571,66.42,7.0,7.0,0.0,0.0,7.0,0.0,0.0
2000-08-07,-1.1438754,1.16,29.0,3.9124,97.81,25.0,10.0,15.0,0.0,10.0,7.0,8.0
2000-08-08,1.1342276,-1.0526316,-20.0,2.1621053,41.08,19.0,8.0,10.0,1.0,8.0,2.0,9.0
2000-08-09,3.7563102,-3.6086957,-83.0,-3.9773912,-91.48,23.0,9.0,12.0,2.0,9.0,8.0,6.0
2000-08-10,2.3101728,10.5,231.0,2.466818,54.27,22.0,17.0,5.0,0.0,11.0,1.0,10.0
2000-08-11,-0.22540663,4.8,24.0,-0.642,-3.21,5.0,3.0,2.0,0.0,2.0,2.0,1.0
2000-08-14,0.9533538,19.0,247.0,12.5115385,162.65,13.0,12.0,1.0,0.0,12.0,1.0,0.0
2000-08-15,-1.5469922,-9.105263,-173.0,-6.248947,-118.73,19.0,4.0,15.0,0.0,4.0,12.0,3.0
2000-08-16,1.515659,7.25,116.0,3.318125,53.09,16.0,11.0,5.0,0.0,9.0,2.0,5.0
