Date,Open,High,Low,Close,Volume,Adj Close
2011-12-23,12169.879883,12297.44043,12169.799805,12294.0,80420000,12294.0
2011-12-22,12107.589844,12182.709961,12107.370117,12169.650391,151610000,12169.650391
2011-12-21,12103.580078,12119.700195,11999.44043,12107.740234,163250000,12107.740234
2011-12-20,11769.209961,12117.129883,11768.830078,12103.580078,165180000,12103.580078
2011-12-19,11866.540039,11925.879883,11735.19043,11766.259766,135170000,11766.259766
2011-12-16,11870.25,11968.179688,11819.30957,11866.389648,389520000,11866.389648
2011-12-15,11825.290039,11967.839844,11825.219727,11868.80957,136930000,11868.80957
2011-12-14,11949.719727,11950.019531,11786.469727,11823.480469,161240000,11823.480469
2011-12-13,12018.660156,12147.700195,11904.379883,11954.94043,171910000,11954.94043
2011-12-12,12181.080078,12181.379883,11940.860352,12021.389648,149050000,12021.389648
2011-12-09,11996.030273,12212.830078,11995.509766,12184.259766,154250000,12184.259766
2011-12-08,12195.910156,12195.910156,11966.219727,11997.700195,165880000,11997.700195
2011-12-07,12144.410156,12257.669922,12060.370117,12196.370117,168440000,12196.370117
2011-12-06,12097.75,12215.709961,12076.709961,12150.129883,145920000,12150.129883
2011-12-05,12021.540039,12186.530273,12021.459961,12097.830078,153830000,12097.830078
2011-12-02,12022.370117,12146.679688,12007.120117,12019.419922,150110000,12019.419922
2011-12-01,12046.209961,12062.639648,11974.620117,12020.030273,143700000,12020.030273
2011-11-30,11559.269531,12045.679688,11559.269531,12045.679688,286790000,12045.679688
2011-11-29,11523.009766,11624.009766,11517.040039,11555.629883,156950000,11555.629883
2011-11-28,11232.469727,11562.099609,11232.160156,11523.009766,204950000,11523.009766
2011-11-25,11251.879883,11361.469727,11231.429688,11231.650391,87480000,11231.650391
2011-11-23,11492.740234,11492.820312,11257.549805,11257.549805,152220000,11257.549805
2011-11-22,11542.389648,11571.75,11433.969727,11493.719727,148570000,11493.719727
2011-11-21,11795.549805,11795.700195,11454.070312,11547.30957,170960000,11547.30957
2011-11-18,11768.980469,11854.80957,11755.820312,11796.160156,181240000,11796.160156
2011-11-17,11905.669922,11948.429688,11676.349609,11770.730469,169830000,11770.730469
2011-11-16,12084.740234,12109.030273,11890.570312,11905.589844,166220000,11905.589844
2011-11-15,12077.919922,12165.110352,12001.259766,12096.160156,14510000,12096.160156
2011-11-14,12153.0,12170.55957,12027.030273,12078.980469,119610000,12078.980469
2011-11-11,11896.280273,12179.719727,11896.280273,12153.679688,134520000,12153.679688
2011-11-10,11780.030273,11961.139648,11779.879883,11893.860352,165250000,11893.860352
2011-11-09,12166.400391,12166.400391,11736.929688,11780.94043,180200000,11780.94043
2011-11-08,12055.519531,12187.509766,12002.169922,12170.179688,144950000,12170.179688
2011-11-07,11983.019531,12074.44043,11880.69043,12068.389648,122110000,12068.389648
2011-11-04,12043.410156,12043.490234,11850.30957,11983.240234,126150000,11983.240234
2011-11-03,11835.589844,12065.929688,11835.429688,12044.469727,158170000,12044.469727
2011-11-02,11658.490234,11876.830078,11658.490234,11836.040039,154140000,11836.040039
